,CODGEO\DEP,medecins,population,FCA,desert_medical
103,77109,0.0,1653.0,3.3035716048434127e-05,True
104,77110,0.0,305.0,3.62388900153651e-05,False
105,77111,0.0,6724.0,4.8140799702671694e-05,False
106,77112,0.0,255.0,3.579129107710997e-05,False
107,77113,0.0,1068.0,3.2021010845862915e-05,True
108,77114,0.0,3920.0,5.481506387956701e-05,False
109,77115,0.0,511.0,3.2402739594292276e-05,True
110,77116,0.0,1314.0,3.249895463987748e-05,True
111,77117,0.0,958.0,3.517722161686949e-05,False
112,77118,0.0,12316.0,5.057377088886189e-05,False
113,77119,0.0,244.0,3.42927467583816e-05,False
114,77120,0.0,631.0,3.634788268989736e-05,False
115,77121,0.0,3339.0,5.8005364143556086e-05,False
116,77122,0.0,21657.0,7.495655627383475e-05,False
117,77123,0.0,816.0,4.976140765510388e-05,False
118,77124,0.0,1746.0,5.2314044095297896e-05,False
119,77125,0.0,1429.0,4.066769857505806e-05,False
120,77126,0.0,1769.0,3.824160364006291e-05,False
121,77127,0.0,1885.0,4.925954385492348e-05,False
122,77128,0.0,2096.0,3.949445778836118e-05,False
123,77129,0.0,566.0,3.627592422444477e-05,False
124,77130,0.0,517.0,3.8743728739049124e-05,False
125,77131,2.0,14953.0,4.545792529355261e-05,False
126,77132,0.0,2867.0,4.4570216284674126e-05,False
127,77133,0.0,196.0,3.321496675708842e-05,True
128,77134,0.0,150.0,3.16412497097012e-05,True
129,77135,0.0,1272.0,3.627302760575854e-05,False
130,77136,0.0,189.0,4.701702446671045e-05,False
131,77137,0.0,240.0,3.161708645084826e-05,True
132,77138,0.0,548.0,3.7945533864522986e-05,False
133,77139,0.0,6643.0,6.008816296604805e-05,False
134,77140,0.0,271.0,3.2850048302721705e-05,True
135,77141,0.0,1196.0,4.180749983335201e-05,False
136,77142,0.0,4774.0,3.919733499987341e-05,False
137,77143,0.0,5288.0,4.324565716154848e-05,False
138,77144,0.0,440.0,4.060663457073503e-05,False
139,77145,0.0,616.0,4.586944778618454e-05,False
140,77146,0.0,2009.0,5.916900828998517e-05,False
141,77147,0.0,664.0,3.243430668405334e-05,True
142,77148,0.0,1820.0,3.860727557690195e-05,False
143,77150,0.0,460.0,4.1485234672728055e-05,False
144,77151,0.0,270.0,3.2452543266066126e-05,True
145,77152,0.0,22318.0,5.60498806179812e-05,False
146,77153,1.0,10830.0,4.940035279412761e-05,False
147,77154,0.0,1168.0,4.0235913950115916e-05,False
148,77155,0.0,3517.0,5.175542209266364e-05,False
149,77156,0.0,903.0,3.597200027754367e-05,False
150,77157,0.0,317.0,3.68116852453792e-05,False
151,77158,0.0,199.0,3.241833327926354e-05,True
152,77159,0.0,2760.0,2.9118903805288082e-05,True
153,77161,0.0,797.0,3.2298851244076965e-05,True
154,77162,0.0,1094.0,3.291079152422379e-05,True
155,77163,0.0,374.0,3.9804220818711705e-05,False
156,77164,0.0,558.0,3.4522842281991975e-05,False
157,77165,0.0,602.0,3.932033114565061e-05,False
158,77167,0.0,320.0,2.9914129166699047e-05,True
159,77168,0.0,2151.0,3.5833306921577814e-05,False
160,77169,0.0,7667.0,6.439809947718707e-05,False
161,77171,1.0,6464.0,4.448086776145937e-05,False
162,77172,0.0,891.0,3.432757538775454e-05,False
163,77173,0.0,825.0,3.849620534515146e-05,False
164,77174,0.0,578.0,2.8331152158051784e-05,True
165,77175,0.0,3070.0,5.6413809764397744e-05,False
166,77176,0.0,2991.0,3.635764201762195e-05,False
167,77177,0.0,1186.0,5.0869325175009874e-05,False
168,77178,0.0,497.0,3.5715766929220034e-05,False
169,77179,0.0,601.0,4.0003985255953425e-05,False
170,77180,3.0,1263.0,6.470239840324318e-05,False
171,77181,0.0,3796.0,5.507023105568128e-05,False
172,77182,0.0,4877.0,3.21498542404368e-05,True
173,77183,1.0,9672.0,4.0177982112519035e-05,False
174,77184,0.0,610.0,3.228478778576647e-05,True
175,77185,0.0,654.0,4.4706189537958396e-05,False
176,77186,4.0,15903.0,6.142005162446076e-05,False
177,77187,0.0,581.0,3.1424994066007036e-05,True
178,77188,0.0,992.0,4.508012089940046e-05,False
179,77190,0.0,263.0,3.4811644767571395e-05,False
180,77191,0.0,1052.0,3.595173314336802e-05,False
181,77192,0.0,5756.0,4.1637005516540324e-05,False
182,77193,0.0,241.0,4.021774404247068e-05,False
183,77194,0.0,421.0,3.660593403999129e-05,False
184,77195,0.0,583.0,4.251317481982387e-05,False
185,77196,0.0,964.0,4.704546159312614e-05,False
186,77197,0.0,166.0,3.256903003011148e-05,True
187,77198,0.0,241.0,3.6004748971322024e-05,False
188,77199,0.0,1402.0,3.9360753320225694e-05,False
189,77200,0.0,122.0,3.4615152741998574e-05,False
190,77201,0.0,688.0,3.4659964215624595e-05,False
191,77202,0.0,809.0,3.5913135186642676e-05,False
192,77203,0.0,1336.0,3.8376546329727036e-05,False
193,77204,0.0,209.0,3.729236929692944e-05,False
194,77205,0.0,147.0,4.003253008261713e-05,False
195,77206,0.0,183.0,3.7229674085765436e-05,False
196,77207,0.0,152.0,3.391028607726089e-05,False
197,77208,0.0,1361.0,3.004370414714968e-05,True
198,77209,0.0,1188.0,5.379728865437236e-05,False
199,77210,0.0,2886.0,3.670194668583426e-05,False
200,77211,0.0,1015.0,3.561059860675251e-05,False
201,77212,0.0,163.0,3.251880476731392e-05,True
202,77214,0.0,807.0,5.026150903244639e-05,False
203,77215,0.0,8459.0,5.2975550239259165e-05,False
204,77216,0.0,1421.0,3.8005050478312325e-05,False
205,77217,0.0,2521.0,5.223582999712627e-05,False
206,77218,0.0,107.0,3.0401985792714622e-05,True
207,77219,0.0,2641.0,3.8011112369572305e-05,False
208,77220,0.0,265.0,3.708135642710598e-05,False
209,77221,0.0,1136.0,5.310246994422555e-05,False
210,77222,0.0,4344.0,4.217378902655644e-05,False
211,77223,0.0,564.0,3.091025616824183e-05,True
212,77224,0.0,253.0,3.805082250257801e-05,False
213,77225,0.0,327.0,3.822243400488408e-05,False
